uri,artist_id,image,release_date,duration,sound,genre,acoustic,dance,energy,instrumental,key,live,loud,speech,tempo,time_signature,valence
4yyO3NUXzML2v6aTWita2I,2GlEiSHYEKlq9cUYDa9oZb,ab67616d00001e025bb7136e1b172f39c124a18c,2020-07-30,182426.0,,r&b,0.255,0.713,0.623,1.22e-06,0,0.221,-8.132,0.315,92.046,4,0.538
4yZ1IsJz47P6p6VLLLGeIh,2LUi4eKMEFKFM4awgurcSs,ab67616d00001e024fee46d7d35d083a2dfd1d96,2020-01-03,239133.0,b3eb2e4ad021e55d4d3687da5d63c2b0e5b02f28?cid=8e0ce36364d143bab6ff99cbe736c94c,r&b,0.311,0.579,0.525,0.0,8,0.114,-10.398,0.411,108.334,3,0.43
4z0IXsydGE0IpQnO2uOlKU,4sbXXFzEWJY2zsZjelerjX,ab67616d00001e021a1ebe58eaa7b961dbc13e05,2017-11-24,197293.0,,r&b,0.297,0.832,0.739,0.0,0,0.105,-6.36,0.163,120.193,3,0.705
4z1gMvWV2ofN66kDuieHMq,4sbXXFzEWJY2zsZjelerjX,ab67616d00001e023cc8ceca99e45ce4984eab3b,2019-02-20,233986.0,,r&b,0.193,0.558,0.797,0.0,8,0.399,-3.89,0.0739,139.992,4,0.368
4z8pJ74Yw4B4G3SToTzCKL,3YwqjMyrRfuixi2pbgTGCE,ab67616d00001e02d6ada37bfb7922afda99985f,2020-12-18,182880.0,25b9d3f17e91f467baa50a78bc5aab8f207f174c?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.0481,0.733,0.605,0.0,2,0.179,-5.445,0.0857,73.007,4,0.304
4Z8QhkewnkXM8jN5VAVkng,2yJ6lsLqG06r9bckSTQRt4,ab67616d00001e02ed32fd7de230d35ad062445c,2020-06-26,365780.0,f155f4446087f4ea3dd3715930aac23519d7c800?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.0506,0.689,0.87,1.31e-06,8,0.19,-6.68,0.296,99.903,4,0.592
4Z9CNGHElj2rLkB8mQdvnA,6HCBnyTBSLdb3TFn2ayulY,ab67616d00001e0206d27577ee25598cadb001df,2020-08-28,223746.0,2ebb44071b587c33eb1ab4fa27c40a514387bc0d?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.272,0.592,0.492,0.0,9,0.0785,-8.462,0.169,128.067,4,0.384
4zaZQ1RL5QvdpLqoOYCxXc,6L34dW6SKMSDaGIfYDU19j,ab67616d00001e027773c21a97dccbf3215eada4,2020-07-16,146701.0,,rap,0.0979,0.719,0.67,0.0,2,0.0948,-6.382,0.204,92.009,4,0.432
4ZBslg1i1eHVOMhZZoX5fx,3hWQDRr1PqwvnHeiZlucBq,ab67616d00001e021664d57b9f230be7a34e4e3e,2024-05-01,201750.0,7b09b295126aa73f729119ce848c4ec51af35f7e?cid=8e0ce36364d143bab6ff99cbe736c94c,r&b,0.814,0.467,0.583,0.0,10,0.144,-8.784,0.44,198.655,4,0.185
4ZeveNuwkv5cUrkDsx2eGQ,5SQFDZOMgKao4hMpULEaoI,ab67616d00001e02e9cbe90c0b6935964497afeb,2023-10-27,156413.0,539492a68b53d2a850009fbe4c08d8dc9dfbe679?cid=8e0ce36364d143bab6ff99cbe736c94c,pop,0.246,0.596,0.863,0.0,1,0.0683,-4.929,0.0414,150.134,3,0.66
